method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,25,500,11.172,4.114415999999999,2.028402326955873,2.5096,0.44768,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,25,500,4.672,2.980416,1.7263881371232832,2.12544,0.18728,"[10, 10, 10]",0.1,0.1,0.1
pageRank,25,500,5.334,4.002444,2.0006109066982516,2.12096,0.21352000000000002,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,25,500,23.742,1.195436,1.0933599590253889,1.0,0.9496800000000001,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,25,500,23.742,1.195436,1.0933599590253889,1.0,0.9496800000000001,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,25,500,23.742,1.195436,1.0933599590253889,1.0,0.9496800000000001,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,25,500,23.742,1.195436,1.0933599590253889,1.0,0.9496800000000001,"[10, 10, 10]",0.1,0.1,0.1
random,55,500,22.64,10.1984,3.1934933849939315,2.7136727272727272,0.4142909090909091,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,55,500,13.05,9.4875,3.080178566252288,2.5520727272727273,0.23843636363636364,"[10, 10, 10]",0.1,0.1,0.1
pageRank,55,500,15.188,10.988655999999999,3.3149141768679318,2.5810545454545455,0.27734545454545456,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,55,500,52.362,2.7829560000000004,1.668219410029748,1.0,0.9520363636363637,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,55,500,52.362,2.7829560000000004,1.668219410029748,1.0,0.9520363636363637,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,55,500,51.762,2.873356,1.6950976373058868,1.0402909090909092,0.9413818181818182,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,55,500,52.362,2.7829560000000004,1.668219410029748,1.0,0.9520363636363637,"[10, 10, 10]",0.1,0.1,0.1
random,100,500,43.248,18.706495999999998,4.325100692469483,2.7376000000000005,0.43754,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,100,500,26.132,17.894576,4.230198104108128,2.756,0.26533999999999996,"[10, 10, 10]",0.1,0.1,0.1
pageRank,100,500,29.658,19.697036,4.4381342926955245,2.77434,0.30034,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,100,500,95.124,5.136623999999999,2.2664121425724844,1.0,0.95124,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,100,500,91.208,5.544735999999999,2.3547263110603747,1.12362,0.91314,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,100,500,93.338,4.931756000000001,2.220755727224406,1.0639,0.93366,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,100,500,95.124,5.136623999999999,2.2664121425724844,1.0,0.95124,"[10, 10, 10]",0.1,0.1,0.1
