method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
ris_path_aware,200,600,71.86833333333334,41.937663888888885,6.475929577202711,6.964741666666666,1392.9483333333333,0.0,0.05,0.3,72.64333333333333,211.55066666666667,0.36321666666666663,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,85.425,50.87104166666666,7.132393824422952,4.4689000000000005,893.7800000000001,0.0,0.05,0.3,87.365,175.77300000000002,0.43682499999999996,"[10, 10, 10]",-0.5,0.8
ris_path_aware,200,600,67.425,42.721041666666665,6.53613354106743,5.992024999999999,1198.4049999999997,0.0,0.05,0.4,68.595,187.85049999999995,0.342975,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,77.19833333333334,43.15566388888888,6.569297062006625,3.7432499999999997,748.65,0.0,0.05,0.4,82.685,154.80666666666667,0.413425,"[10, 10, 10]",-0.5,0.8
ris_path_aware,200,600,62.056666666666665,40.08678888888889,6.331412866721684,5.2377666666666665,1047.5533333333333,0.0,0.05,0.5,63.623333333333335,167.59533333333334,0.31811666666666666,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,75.64333333333333,45.16278888888889,6.72032654629884,3.329766666666667,665.9533333333334,0.0,0.05,0.5,78.13333333333334,143.4836666666667,0.3906666666666667,"[10, 10, 10]",-0.5,0.8
ris_path_aware,200,600,95.71333333333334,45.39782222222222,6.737790603916259,5.8719,1174.38,0.0,0.1,0.3,96.38166666666666,213.4855,0.4819083333333333,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,111.11,44.46789999999999,6.668425601294506,3.743675,748.735,0.0,0.1,0.3,114.485,187.671,0.572425,"[10, 10, 10]",-0.5,0.8
ris_path_aware,200,600,86.95333333333333,43.174488888888895,6.570729707489793,4.963208333333333,992.6416666666667,0.0,0.1,0.4,87.58166666666666,186.53166666666667,0.43790833333333334,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,103.37166666666667,45.52019722222222,6.746865733229187,3.2450916666666667,649.0183333333333,0.0,0.1,0.4,106.07,169.62266666666665,0.53035,"[10, 10, 10]",-0.5,0.8
ris_path_aware,200,600,85.10833333333333,46.10326388888889,6.7899384304195936,4.6498,929.96,0.0,0.1,0.5,85.675,178.3876666666667,0.428375,"[10, 10, 10]",-0.5,0.8
1hop_sort,200,600,97.31333333333333,41.98848888888889,6.479852536045005,2.907408333333333,581.4816666666667,0.0,0.1,0.5,100.00166666666667,156.80566666666667,0.5000083333333333,"[10, 10, 10]",-0.5,0.8
