method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,5,500,3.074,0.7565239999999999,0.8697838812026812,2.6075999999999997,0.6168,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,5,500,1.198,0.706796,0.840711603345642,2.5444,0.23959999999999998,"[10, 10, 10]",0.1,0.1,0.1
pageRank,5,500,1.316,0.724144,0.850966509329245,2.4323999999999995,0.2632,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,5,500,4.718,0.274476,0.5239045714631626,1.0,0.9436,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,5,500,4.718,0.274476,0.5239045714631626,1.0,0.9436,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,5,500,4.718,0.274476,0.5239045714631626,1.0,0.9436,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,5,500,4.718,0.274476,0.5239045714631626,1.0,0.9436,"[10, 10, 10]",0.1,0.1,0.1
random,15,500,7.584,2.798944,1.6730044829587278,3.0970666666666666,0.5105333333333334,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,15,500,5.212,3.0750560000000005,1.75358375904888,3.2168,0.35213333333333335,"[10, 10, 10]",0.1,0.1,0.1
pageRank,15,500,5.582,3.1072760000000006,1.7627467203203075,3.111733333333333,0.3758666666666667,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,15,500,14.254,0.6934839999999999,0.8327568672787994,1.0,0.9502666666666666,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,15,500,14.254,0.6934839999999999,0.8327568672787994,1.0,0.9502666666666666,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,15,500,14.254,0.6934839999999999,0.8327568672787994,1.0,0.9502666666666666,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,15,500,14.254,0.6934839999999999,0.8327568672787994,1.0,0.9502666666666666,"[10, 10, 10]",0.1,0.1,0.1
random,25,500,12.372,4.701616,2.1683210094448655,3.14672,0.50072,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,25,500,8.844,5.4476640000000005,2.3340231361321164,3.4144,0.35952,"[10, 10, 10]",0.1,0.1,0.1
pageRank,25,500,9.45,5.1635,2.2723336022688216,3.34456,0.38248,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,25,500,23.72,1.1536,1.0740577265678042,1.0,0.9488,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,25,500,23.72,1.1536,1.0740577265678042,1.0,0.9488,"[10, 10, 10]",0.1,0.1,0.1
ris_naive,25,500,23.72,1.1536,1.0740577265678042,1.0,0.9488,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,25,500,23.72,1.1536,1.0740577265678042,1.0,0.9488,"[10, 10, 10]",0.1,0.1,0.1
